content,score,label,preprocessed_content,at,prediction,predicted_label
oke,5,1,oke,05/10/2023,0.99427706,1
Good jobs,5,1,good jobs,09/11/2023,0.99744594,1
Sangat oke..,5,1,sangat oke ,10/12/2023,0.99753916,1
Gk bisa login.. udh pilih lupa kata sandi.. lah kok kode OTP nya gk valid..,1,0,enggak bisa login sudah pilih lupa kata sandi lah kok kode otp nya enggak valid ,14/02/2024,0.001764368,0
Jaringan Sangat Stabil,4,1,jaring sangat stabil,31/10/2023,0.99025893,1
jelek,1,0,jelek,03/12/2023,0.017025778,0
"teknisi datang tepat waktu, penanganan cepat, mantap",5,1,teknisi datang tepat waktu tangan cepat mantap,15/01/2024,0.96404654,1
Mantap indihome. Buka aplikasi aja force close terus.,1,0,mantap indihome buka aplikasi saja force close terus ,25/11/2023,0.008909585,0
Joss!!!,5,1,jos ,04/02/2024,0.9932814,1
"jika ada permasalahan,petugas datang dengan tepat waktu..",4,1,jika ada masalah tugas datang dengan tepat waktu ,11/11/2023,0.99365854,1
Ga Dapat Kode Dari Sms,1,0,enggak dapat kode dari sms,14/01/2024,0.045942113,0
Saya kecewa & emosi bgt di green lake ktny harus Indihome tapi sinyal kyk sampah gini mana byr nya mahal trus disuruh dtng cek lama banget. 😡😡😡🤬,1,0,saya kecewa emosi banget di green lake kata harus indihome tapi sinyal kayak sampah begini mana byr nya mahal terus suruh dtng cek lama banget ,31/10/2023,0.000843187,0
lebih baik,5,1,lebih baik,15/10/2023,0.988748,1
"aplikasi yang buruk sekali, untuk login susahnya minta ampun",1,0,aplikasi yang buruk sekali untuk login susah minta ampun,19/01/2024,0.000760619,0
"ah sekarang payah kali aplikasinya, lelet kali",1,0,ah sekarang payah kali aplikasi lelet kali,21/11/2023,0.002098519,0
Mudah & cepat,4,1,mudah cepat,18/12/2023,0.99890316,1
Alhamdulillah suka dengan indihome karena menghemat biaya Internet keluarga.,5,1,alhamdulillah suka dengan indihome karena hemat biaya internet keluarga ,05/02/2024,0.9973965,1
Good,5,1,good,19/12/2023,0.9959047,1
"sangat ribet tak ada respon , robot an ji ng",1,0,sangat ribet tak ada respon robot an ji ng,26/11/2023,0.032737184,0
"Setelah update aplikasi macet.. keluar"" sendiri",2,0,telah update aplikasi macet keluar sendiri,23/11/2023,0.032171816,0
Paraaah. Loading nya. Edaaaann.,1,0,parah loading nya edaaaan ,20/11/2023,0.005365535,0
Jaringan stabil dan pelayanan bagus,5,1,jaring stabil dan layan bagus,28/10/2023,0.99757195,1
"Lambat,loading lama,cek voucher error mulu tiap bulan....!!!",1,0,lambat loading lama cek voucher error mulu tiap bulan ,10/12/2023,0.00048925,0
Oke,5,1,oke,10/01/2024,0.99427706,1
aplikasi LEMOT,1,0,aplikasi lemot,11/11/2023,0.018370712,0
"Agak lemot sih, mungkin hp saya jelek. Tapi aplikasi ini sangat informatif sekali",5,0,agak lemot sih mungkin hp saya jelek tapi aplikasi ini sangat informatif sekali,09/10/2023,0.004933601,0
Selama ini stabil bagus seuai paket,5,1,lama ini stabil bagus uai paket,09/12/2023,0.9952618,1
Keren,5,1,keren,21/11/2023,0.99530053,1
jaringan saya lambat tidak bisa streaming bola kaki dan juga masuk aplikasi instagram loading,1,0,jaring saya lambat tidak bisa streaming bola kaki dan juga masuk aplikasi instagram loading,21/01/2024,0.001415083,0
"Aplikasi lelet masa gue tiba2 logout sendiri, pas masuk point' gua hilang.. mau cek berapa kuota wifi lagi lama banget loadingnya.. jaringan gak jelas lelet banget.. parah banget nih, gak rekomen banget",1,0,aplikasi lelet masa gue tiba logout sendiri pas masuk point gua hilang mau cek berapa kuota wifi lagi lama banget loadingnya jaring enggak jelas lelet banget parah banget nih enggak rekomen banget,19/02/2024,0.000295011,0
Ok,5,1,ok,25/12/2023,0.9959974,1
Oke deh. Lumayan bagus buat cari informasi tentang promo dan paket,5,1,oke deh lumayan bagus buat cari informasi tentang promo dan paket,17/01/2024,0.99968773,1
"TOLONG PIHAK TEKNISI INDIHOME LEBIH AJARKAN LAGI KESOPANAN NYA, DIA MU PASANG PUN NGOBROL NYA NADA TINGGI² TRUS.. KYAK GAK NIAT MASANG.. UDAH KALO EMNG UDAH GK NIAT KERJA JDI TEKNISI RISEN AJHH JNGN GINI CARA NYA,,, JADI ORANG YANG TADI NYA MAU NYEDIAKN INI ITU BUAT TEKNISI JDI MALES BNGET.. KARENA DIA NYA JUGA GAK SOPN BANGET. GAK ADA ETITUDE GAK ADA KERAMAHAN SAMA SEKALII KEPADA KONSUMEN... UDAH SAYA NYESELL",1,0,tolong pihak teknisi indihome lebih ajar lagi sopan nya dia mu pasang pun obrol nya nada tinggi terus kayak enggak niat masang sudah kalo memang sudah enggak niat kerja jadi teknisi risen saja jangan begini cara nya jadi orang yang tadi nya mau nyediakn ini itu buat teknisi jadi malas banget karena dia nya juga enggak sopn banget enggak ada etitude enggak ada ramah sama sekali kepada konsumen sudah saya sesal,07/10/2023,0.00137797,0
"Aplikasi myIndihome lemot, UI berat, susah login, aplikasi sering logout sendiri. Login pakai jaringan wifi indihome aplikasi tidak respon(lemot) harus pakai jaringan data seluler. Aplikasi sekelas provider BUMN pakai aplikasi sampah banyak bug. Router ZTE F609I tidak bisa login super admin akhir-akhir ini sudah dari tahun lalu",1,0,aplikasi myindihome lemot ui berat susah login aplikasi sering logout sendiri login pakai jaring wifi indihome aplikasi tidak respon lot harus pakai jaring data seluler aplikasi kelas provider bumn pakai aplikasi sampah banyak bug router zte di tidak bisa login super admin akhir akhir ini sudah dari tahun lalu,09/01/2024,0.000316539,0
Tolong perbaikin penukaran point reward nya sering gagal,4,0,tolong baik tukar point reward nya sering gagal,20/11/2023,0.004730172,0
Gak bisa pilih tanggal perbaikan,1,0,enggak bisa pilih tanggal baik,19/01/2024,0.34030667,0
Aplikasi Bug. Segera perbaiki,1,0,aplikasi bug segera baik,23/11/2023,0.041342337,0
Ok lah buat kbutuhan internet,5,1,ok lah buat kbutuhan internet,13/01/2024,0.99912703,1
Kadang suka ngelag,4,0,kadang suka ngelag,15/11/2023,0.034373436,0
Paket yang murah jaringan stabil,5,1,paket yang murah jaring stabil,25/10/2023,0.9692189,1
APLIKASI GOBLOOOOKKKKKKKKKKKKKKK EROR TERUS MUTER2 ASU KAU,1,0,aplikasi goblooook eror terus muter asu kau,20/10/2023,0.002583263,0
Emang boleh seburuk ini,1,0,memang boleh buruk ini,03/01/2024,0.012840934,0
Ok,5,1,ok,10/01/2024,0.9959974,1
Mantap,5,1,mantap,21/12/2023,0.9967573,1
"Parah, setiap akses aplikasi selalu loading lama dan muncul notif sedang meningkatkan layanan, sekarang sudah berhenti langganan kena biaya 1.5 jt, amit2 pakai provider ini lagi, ribet mahal . . . .",1,0,parah tiap akses aplikasi selalu loading lama dan muncul notif sedang tingkat layan sekarang sudah henti langgan kena biaya juta amit pakai provider ini lagi ribet mahal ,02/10/2023,0.001025869,0
Mantaab,5,1,mantaab,18/01/2024,0.96899605,1
"Update gak banyak perubahan, berlangganan 50mbps utk buka app myindihome masih lambat,",3,0,update enggak banyak ubah langgan mbps untuk buka ap myindihome masih lambat ,04/01/2024,0.004706923,0
hampir sebulan peningkatan layanan sangat tidak puas,1,0,hampir bulan tingkat layan sangat tidak puas,06/11/2023,0.6596537,1
Baik,5,1,baik,03/02/2024,0.98237866,1
"Baru instal udah kecewa pertama login lancar, eh yang kedua dan kesekian kalinya, selalu mohon maaf",1,0,baru instal sudah kecewa pertama login lancar eh yang dua dan sekian kali selalu mohon maaf,22/12/2023,0.008427051,0
Apk nya sangat membantu sekali. Layanan responsif dan keren,5,1,apk nya sangat bantu sekali layan responsif dan keren,25/09/2023,0.97129965,1
Mantap,5,1,mantap,21/02/2024,0.9967573,1
Ok,5,1,ok,23/11/2023,0.9959974,1
Ok,5,1,ok,04/11/2023,0.9959974,1
Mengikuti perkembangan zaman,5,1,ikut kembang zaman,05/11/2023,0.9709348,1
Kereeen,5,1,keren,30/10/2023,0.99530053,1
